length,successrate,error
2,0.790,0.005
4,0.791,0.005
6,0.789,0.005
8,0.791,0.005
10,0.792,0.005
12,0.790,0.005
14,0.790,0.005
16,0.788,0.005
18,0.785,0.005
20,0.785,0.005
22,0.786,0.005
24,0.782,0.005
26,0.782,0.005
28,0.781,0.005
30,0.777,0.005
32,0.777,0.005
34,0.776,0.005
36,0.771,0.005
38,0.769,0.005
40,0.765,0.005
42,0.760,0.005
44,0.764,0.005
46,0.757,0.005
48,0.754,0.005
50,0.752,0.005
52,0.748,0.005
54,0.748,0.005
56,0.738,0.005
58,0.737,0.005
60,0.736,0.005
62,0.730,0.005
64,0.727,0.005
66,0.725,0.005
68,0.720,0.005
70,0.714,0.005
72,0.710,0.005
74,0.709,0.005
76,0.707,0.005
78,0.704,0.005
80,0.699,0.005
82,0.698,0.005
84,0.691,0.005
86,0.691,0.005
88,0.685,0.005
90,0.685,0.005
92,0.679,0.005
94,0.678,0.005
96,0.674,0.005
98,0.669,0.005
100,0.666,0.005